shot_id,beat_id,start_time,end_time,duration_seconds,shot_function,composition_class,shot_scale,focal_subject,focal_zone,subject_occupancy_percent_min,subject_occupancy_percent_max,camera_motion,transition,palette_role,asset_class,required_asset_count,overlay_text_mode,overlay_max_lines,overlay_max_characters_per_line,audio_role,information_role,truth_boundary,asset_status,rights_status,acceptance_status
shot-b01-01,bridge-storyboard-beat-1-bellless-tower,00:00,00:07,7,矛盾の舞台を置く,environment_establishing,wide,空の鐘枠を持つ天文台遠景,center,20,45,slow_push,hard_cut,midnight_base,environment,1,subtitle_only,2,18,ambient_bed,hook,鐘が鳴る原因を画面化しない。,unselected,not_cleared,pass
shot-b01-02,bridge-storyboard-beat-1-bellless-tower,00:07,00:14,7,鐘がないことを確認する,object_detail,close,空の鐘枠と取付部,center,35,60,locked,short_dissolve,paper_neutral,environment,1,subtitle_only,2,18,ambient_bed,evidence,撤去理由やwinter curfewを証明しない。,unselected,not_cleared,pass
shot-b01-03,bridge-storyboard-beat-1-bellless-tower,00:14,00:20,6,未解決の問いへ止める,closing_question,medium,空の鐘枠と正午表示,center,25,45,locked,held_fade,uncertainty_cool,typography,1,subtitle_plus_single_label,2,18,silence_hold,unresolved_question,魔法、機械、人物のいずれも原因として示さない。,unselected,not_cleared,pass
shot-b02-01,bridge-storyboard-beat-2-brass-moth,00:20,00:30,10,ミラの仕事と手元を置く,character_context,close,ミラの手元と時計修理台,lower_third,35,60,slow_pan,hard_cut,paper_neutral,character_silhouette,1,subtitle_only,2,18,mechanical_detail,context,final character designではない。,unselected,not_cleared,pass
shot-b02-02,bridge-storyboard-beat-2-brass-moth,00:30,00:40,10,個人的な手がかりを並べる,evidence_insert,close,メモと静止した真鍮の蛾,center,40,65,locked,match_cut,brass_accent,prop,2,subtitle_only,2,18,ambient_bed,evidence,蛾を作動させず、機能を示さない。,unselected,not_cleared,pass
shot-b02-03,bridge-storyboard-beat-2-brass-moth,00:40,00:50,10,9:17のmotifと蛾を分けて示す,object_detail,extreme_close,9:17の時計面と真鍮の蛾,split_frame,25,45,controlled_parallax,graphic_match,brass_accent,prop,2,subtitle_only,2,18,mechanical_detail,competing_hypothesis,9:17は閉店時刻のmotifであり、時計停止の確定事実にはしない。,unselected,not_cleared,pass
shot-b03-01,bridge-storyboard-beat-3-erased-names,00:50,01:00,10,調査対象の台帳を開く,evidence_insert,close,開かれる台帳,lower_third,35,60,slow_push,hard_cut,paper_neutral,document_graphic,1,subtitle_only,2,18,ambient_bed,evidence,所有者、真正性、有罪を確定しない。,unselected,not_cleared,pass
shot-b03-02,bridge-storyboard-beat-3-erased-names,01:00,01:10,10,名前と分の関係を可視化する,abstract_information,graphic_fullframe,名前と分の列,center,20,55,locked,graphic_match,uncertainty_cool,document_graphic,1,subtitle_plus_single_label,2,18,tension_pulse,evidence,実在文書でも確定証拠でもない。,unselected,not_cleared,pass
shot-b03-03,bridge-storyboard-beat-3-erased-names,01:10,01:20,10,記録欠落の感覚を作る,abstract_information,graphic_fullframe,薄れる名前の輪郭,full_frame,20,70,graphic_dissolve,short_dissolve,uncertainty_cool,abstract_graphic,1,subtitle_only,2,18,tension_pulse,competing_hypothesis,literal erasureの証明ではなくvisual metaphor。,unselected,not_cleared,pass
shot-b04-01,bridge-storyboard-beat-4-council-shadow,01:20,01:28,8,制度側の存在だけを示す,institutional_pressure,wide,匿名の評議会シルエット,center,15,35,slow_push,hard_cut,midnight_base,character_silhouette,3,subtitle_only,2,18,tension_pulse,pressure,guilty acting、個人特定、単純悪役化を避ける。,unselected,not_cleared,pass
shot-b04-02,bridge-storyboard-beat-4-council-shadow,01:28,01:36,8,矛盾する二説を並置する,unresolved_choice,graphic_fullframe,同じ重みの二つの仮説,split_frame,20,60,locked,graphic_match,warning_rust,document_graphic,2,subtitle_plus_single_label,2,18,tension_pulse,competing_hypothesis,Contradictory Claim Guardのどちらも勝たせない。,unselected,not_cleared,pass
shot-b04-03,bridge-storyboard-beat-4-council-shadow,01:36,01:45,9,動機不明のまま緊張を渡す,institutional_pressure,medium,閉じた制度空間と台帳の影,center,25,50,slow_pull,held_fade,midnight_base,environment,1,subtitle_plus_single_label,2,18,silence_hold,pressure,動機と責任範囲を未決定のまま保つ。,unselected,not_cleared,pass
shot-b05-01,bridge-storyboard-beat-5-held-answers,01:45,01:58,13,トーマの複数の運命を保留する,unresolved_choice,medium,未確定のトーマ候補,split_frame,20,55,slow_pan,hard_cut,uncertainty_cool,character_silhouette,1,subtitle_plus_single_label,2,18,tension_pulse,competing_hypothesis,生存、死亡、消失、潜伏のいずれも採用しない。,unselected,not_cleared,pass
shot-b05-02,bridge-storyboard-beat-5-held-answers,01:58,02:11,13,蛾の機能候補を分離する,object_detail,close,真鍮の蛾と機能候補,center,35,60,controlled_parallax,match_cut,brass_accent,prop,1,subtitle_plus_single_label,2,18,mechanical_detail,context,activationや正解表示を行わない。,unselected,not_cleared,pass
shot-b05-03,bridge-storyboard-beat-5-held-answers,02:11,02:23,12,評議会の動機候補を保留する,unresolved_choice,graphic_fullframe,評議会の動機候補,split_frame,20,65,locked,graphic_match,warning_rust,document_graphic,1,subtitle_plus_single_label,2,18,tension_pulse,competing_hypothesis,いずれもderived possibilityであり事実ではない。,unselected,not_cleared,pass
shot-b05-04,bridge-storyboard-beat-5-held-answers,02:23,02:35,12,三つの問いをHOLDへ戻す,abstract_information,graphic_fullframe,Toma / moth / Council HOLD面,full_frame,20,70,graphic_dissolve,held_fade,text_high_contrast,typography,1,subtitle_plus_single_label,2,18,silence_hold,unresolved_question,物語世界の表示やcanon上の事実ではない。,unselected,not_cleared,pass
shot-b06-01,bridge-storyboard-beat-6-time-or-names,02:35,02:44,9,終幕の二択を置く,unresolved_choice,graphic_fullframe,時計面と空欄の名前欄,split_frame,25,60,locked,hard_cut,uncertainty_cool,abstract_graphic,2,subtitle_only,2,18,tension_pulse,unresolved_question,ミラの選択を示さない。,unselected,not_cleared,pass
shot-b06-02,bridge-storyboard-beat-6-time-or-names,02:44,02:52,8,結論を書かずに台帳を閉じる,evidence_insert,close,未記入欄を残す台帳,lower_third,35,60,slow_pull,graphic_match,paper_neutral,document_graphic,1,subtitle_only,2,18,ambient_bed,context,消された人々や回復を確定しない。,unselected,not_cleared,pass
shot-b06-03,bridge-storyboard-beat-6-time-or-names,02:52,03:00,8,問いのまま冒頭像へ戻る,closing_question,wide,空の鐘枠と終幕の問い,center,20,45,slow_pull,held_fade,midnight_base,environment,1,subtitle_plus_single_label,2,18,closing_resonance,closing_prompt,ending candidateの問いで閉じ、解決を描かない。,unselected,not_cleared,pass
